0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:26 +0900] "GET /portfolio/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:47 +0900] "GET /portfolio/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:48 +0900] "GET /portfolio/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:49 +0900] "GET /portfolio/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:49 +0900] "GET /portfolio/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:20:25:50 +0900] "GET /portfolio/ HTTP/1.1" 304 -
